,Endereco,LATITUDE,LONGITUDE
11814,"rua avicena, SANTA CÂNDIDA, Curitiba",-25.367013,-49.2111976
11815,"rua elpídio alves assumpção, TINGUI, Curitiba",-25.3932867,-49.2207152
11816,"rua maurício caillet, ÁGUA VERDE, Curitiba",-25.4463818,-49.280296
11817,"rua josé antoniassi, VISTA ALEGRE, Curitiba",-25.4133238,-49.2869578
11818,"rua antonio leocadio pimentel, ATUBA, Curitiba",-25.3868504,-49.1968174
11819,"rua doutor bley zornig, UBERABA, Curitiba",-25.5100235,-49.22137499999999
11820,"rua clementina mehl muhlmann, TINGUI, Curitiba",-25.388492,-49.22059729999999
11821,"rua laura rodrigues macedo, CIDADE INDUSTRIAL, Curitiba",-25.5405498,-49.3362106
11822,"rua professor léo kessler, JARDIM DAS AMÉRICAS, Curitiba",-25.4567477,-49.2391708
11823,"rua agua verde, ÁGUA VERDE, Curitiba",-25.4535428,-49.2837554
11824,"rua joão dalla stella, SANTA FELICIDADE, Curitiba",-25.4008699,-49.3278371
11825,"rua raposo tavares, TINGUI, Curitiba",-25.4808762,-49.3044253
11826,"rua professor luiz carlos lima, CAJURU, Curitiba",-25.4822813,-49.1960333
11827,"rua afonso camargo, CAJURU, Curitiba",-25.4399407,-49.2279898
11828,"rua ghaze saleh, TINGUI, Curitiba",-25.3814106,-49.2208815
11829,"rua doutor lysandro santos lima, CIDADE INDUSTRIAL, Curitiba",-25.5131878,-49.3254963
11830,"rua savigny, BARREIRINHA, Curitiba",-25.3777091,-49.2600254
11831,"rua professor euro brandão, PORTÃO, Curitiba",-25.4765694,-49.2921272
11832,"rua piquiri, PAROLIN, Curitiba",-25.4465817,-49.26010429999999
11833,"rua duque de caxias, CENTRO CÍVICO, Curitiba",-22.7862985,-43.3053106
11834,"rua ada cazemir mazilak, UBERABA, Curitiba",-19.7473668,-47.93915399999999
11835,"rua joao durvalino borba, CAJURU, Curitiba",-21.2755425,-47.30135320000001
11836,"rua general potiguara, PORTÃO, Curitiba",-25.4890834,-49.31717399999999
11837,"rua professor joao doetzer, JARDIM DAS AMÉRICAS, Curitiba",-25.463742,-49.222947
11838,"rua maria chinazzo, CAJURU, Curitiba",-25.4549694,-49.2183145
11839,"rua padre jose rafael kalinoski, PINHEIRINHO, Curitiba",-25.5265276,-49.2759899
11840,"rua augustro stresser, ALTO DA GLÓRIA, Curitiba",-25.4170897,-49.2513792
11841,"rua estação tubo santa bernadete, FANNY, Curitiba",-25.4851218,-49.2669936
11842,"rua br cento e dezesseis, BOQUEIRÃO, Curitiba",-25.4808762,-49.3044253
11843,"rua santa filomena, HUGO LANGE, Curitiba",-25.4175998,-49.2435122
11844,"rua felisbino passos, ATUBA, Curitiba",-25.3836334,-49.2188257
11845,"rua antonio valentin, CAPÃO DA IMBUIA, Curitiba",-25.4390119,-49.2141361
11846,"rua luciano guimarães de gracia, TABOÃO, Curitiba",-25.3728563,-49.27622359999999
11847,"rua conselheiro laurindo, NOVO MUNDO, Curitiba",-25.44007,-49.2603528
11848,"rua margarida pionario moro, CENTRO, Curitiba",-25.4808762,-49.3044253
11849,"rua santa ângela de foligno, CIDADE INDUSTRIAL, Curitiba",-25.5118342,-49.3202493
11850,"rua josé xavier, SANTA FELICIDADE, Curitiba",-25.4165123,-49.3543635
11851,"rua evaldo wendler, SÃO LOURENÇO, Curitiba",-25.3945117,-49.2725646
11852,"rua 14 de julho, ALTO BOQUEIRÃO, Curitiba",-25.526002,-49.2546679
11853,"rua baltazar carrasco dos reis, JARDIM BOTÂNICO, Curitiba",-25.4449256,-49.25575360000001
11854,"rua reinaldo são braz fabrim, CAJURU, Curitiba",-25.4483563,-49.2188464
11855,"rua luiz carlos bruginski, CAJURU, Curitiba",-25.4724553,-49.32305969999999
11856,"rua eugenio jose de souza, GUAÍRA, Curitiba",-25.4682063,-49.27856509999999
11857,"rua amelia rocio dos santos, CIDADE INDUSTRIAL, Curitiba",-25.5174052,-49.3273326
