,Endereco,LATITUDE,LONGITUDE
300,"rua marcos mocellin, SANTA FELICIDADE, Curitiba",-25.4013189,-49.3268061
301,"rua eduardo sprada, AUGUSTA, Curitiba",-25.4536247,-49.3689879
302,"rua  conselheiro laurindo, CENTRO, Curitiba",-25.4345074,-49.2630588
303,"rua  francisco josé lobo, SÍTIO CERCADO, Curitiba",-25.5310148,-49.2744846
304,"rua dos pioneiros, ALTO BOQUEIRÃO, Curitiba",-25.5345335,-49.26999139999999
305,"rua baldur magnus grubba, NOVO MUNDO, Curitiba",-25.483612,-49.3079584
306,"rua  deputado pinheiro junior, UMBARÁ, Curitiba",-25.5599711,-49.2837695
307,"rua paulo bettes, NOVO MUNDO, Curitiba",-25.4794777,-49.286002
308,"rua celeste tortato gabardo, SÍTIO CERCADO, Curitiba",-25.5440645,-49.28107019999999
309,"rua  deputado heitor alencar furtado, CAMPO COMPRIDO, Curitiba",-25.4381247,-49.33185049999999
310,"rua doutor salvador de maio, JARDIM BOTÂNICO, Curitiba",-25.4514866,-49.2413481
311,"rua charles dickens, SANTA CÂNDIDA, Curitiba",-25.3690117,-49.2691047
